"idx","period","school","exp1","exp2","school_c","work1","work2","home"
528,16,10,14,0,0,1,0,0
528,17,10,15,0,0,1,0,0
528,18,10,16,0,0,1,0,0
528,19,10,17,0,0,1,0,0
528,20,10,18,0,0,1,0,0
528,21,10,19,0,0,1,0,0
528,22,10,20,0,0,1,0,0
528,23,10,21,0,0,1,0,0
528,24,10,22,0,0,1,0,0
528,25,10,23,0,0,1,0,0
528,26,10,24,0,0,1,0,0
528,27,10,25,0,0,1,0,0
528,28,10,25,0,0,0,0,1
528,29,10,26,0,0,1,0,0
528,30,10,27,0,0,1,0,0
528,31,10,28,0,0,1,0,0
528,32,10,29,0,0,1,0,0
528,33,10,30,0,0,1,0,0
528,34,10,31,0,0,1,0,0
528,35,10,32,0,0,1,0,0
528,36,10,33,0,0,1,0,0
528,37,10,34,0,0,1,0,0
528,38,10,34,0,0,0,0,1
528,39,10,35,0,0,1,0,0
528,40,10,36,0,0,1,0,0
529,1,10,0,0,0,0,0,0
529,2,10,1,0,0,1,0,0
529,3,10,2,0,0,1,0,0
529,4,10,3,0,0,1,0,0
529,5,10,3,0,0,0,0,1
529,6,10,3,0,0,0,0,1
529,7,10,4,0,0,1,0,0
529,8,10,5,0,0,1,0,0
529,9,10,5,0,0,0,0,1
529,10,10,6,0,0,1,0,0
529,11,10,7,0,0,1,0,0
529,12,10,8,0,0,1,0,0
529,13,10,9,0,0,1,0,0
529,14,10,10,0,0,1,0,0
529,15,10,11,0,0,1,0,0
529,16,10,12,0,0,1,0,0
529,17,10,13,0,0,1,0,0
529,18,10,14,0,0,1,0,0
529,19,10,15,0,0,1,0,0
529,20,10,16,0,0,1,0,0
529,21,10,17,0,0,1,0,0
529,22,10,18,0,0,1,0,0
529,23,10,19,0,0,1,0,0
529,24,10,20,0,0,1,0,0
529,25,10,21,0,0,1,0,0
529,26,10,22,0,0,1,0,0
529,27,10,23,0,0,1,0,0
529,28,10,24,0,0,1,0,0
529,29,10,25,0,0,1,0,0
529,30,10,26,0,0,1,0,0
529,31,10,27,0,0,1,0,0
529,32,10,28,0,0,1,0,0
529,33,10,29,0,0,1,0,0
529,34,10,30,0,0,1,0,0
529,35,10,31,0,0,1,0,0
529,36,10,32,0,0,1,0,0
529,37,10,33,0,0,1,0,0
529,38,10,34,0,0,1,0,0
529,39,10,35,0,0,1,0,0
529,40,10,36,0,0,1,0,0
530,1,10,0,0,0,0,0,0
530,2,10,1,0,0,1,0,0
530,3,10,2,0,0,1,0,0
530,4,10,3,0,0,1,0,0
530,5,10,4,0,0,1,0,0
530,6,10,4,1,0,0,1,0
530,7,10,5,1,0,1,0,0
530,8,10,6,1,0,1,0,0
530,9,10,7,1,0,1,0,0
530,10,10,8,1,0,1,0,0
530,11,10,8,2,0,0,1,0
530,12,10,9,2,0,1,0,0
530,13,10,10,2,0,1,0,0
530,14,10,11,2,0,1,0,0
530,15,10,12,2,0,1,0,0
530,16,10,13,2,0,1,0,0
530,17,10,14,2,0,1,0,0
530,18,10,15,2,0,1,0,0
530,19,10,16,2,0,1,0,0
530,20,10,17,2,0,1,0,0
530,21,10,18,2,0,1,0,0
530,22,10,18,3,0,0,1,0
530,23,10,19,3,0,1,0,0
530,24,10,20,3,0,1,0,0
530,25,10,21,3,0,1,0,0
530,26,10,22,3,0,1,0,0
530,27,10,23,3,0,1,0,0
530,28,10,24,3,0,1,0,0
530,29,10,24,4,0,0,1,0
530,30,10,25,4,0,1,0,0
530,31,10,25,4,0,0,0,1
530,32,10,26,4,0,1,0,0
530,33,10,27,4,0,1,0,0
530,34,10,28,4,0,1,0,0
